0.000	9.864
0.020	9.604
0.039	9.519
0.059	9.543
0.079	9.669
0.099	9.688
0.119	9.846
0.138	9.815
0.158	9.768
0.178	9.821
0.198	9.688
0.217	9.616
0.237	9.640
0.257	9.572
0.277	9.570
0.297	9.638
0.316	9.697
0.336	9.800
0.356	9.795
0.376	9.717
0.395	9.641
0.415	9.722
0.435	9.788
0.455	9.629
0.475	9.625
0.494	9.861
0.514	9.793
0.534	9.273
0.554	9.357
0.573	9.679
0.593	9.704
0.613	9.645
0.633	9.670
0.652	9.724
0.672	9.633
0.692	9.325
0.712	9.333
0.732	9.646
0.751	9.984
0.771	10.315
0.791	10.388
0.811	10.111
0.830	9.619
0.850	9.362
0.870	9.808
0.890	10.333
0.910	10.444
0.929	10.157
0.949	9.750
0.969	9.427
0.989	9.419
1.008	9.238
1.028	9.040
1.048	9.299
1.068	9.862
1.087	10.296
1.107	10.230
1.127	9.888
1.147	9.564
1.167	9.249
1.186	9.150
1.206	9.257
1.226	9.462
1.246	9.921
1.265	10.235
1.285	10.516
1.305	10.895
1.325	11.055
1.345	10.957
1.364	10.889
1.384	11.049
1.404	11.346
1.424	11.490
1.443	10.791
1.463	9.481
1.483	9.654
1.503	11.773
1.522	12.617
1.542	11.746
1.562	10.630
1.582	9.679
1.602	8.776
1.621	8.166
1.641	8.265
1.661	8.263
1.681	8.315
1.700	8.881
1.720	9.392
1.740	9.487
1.760	9.442
1.780	9.506
1.799	9.358
1.819	8.939
1.839	8.903
1.859	9.184
1.878	9.270
1.898	9.245
1.918	9.148
1.938	9.065
1.958	9.154
1.977	9.501
1.997	9.815
2.017	9.780
2.037	9.538
2.056	9.340
2.076	9.404
2.096	9.798
2.116	10.196
2.135	10.335
2.155	10.330
2.175	10.510
2.195	10.790
2.215	11.272
2.234	11.338
2.254	9.978
2.274	9.623
2.294	11.713
2.313	13.026
2.333	11.739
2.353	9.957
2.373	9.502
2.393	10.007
2.412	10.488
2.432	10.185
2.452	9.417
2.472	8.989
2.491	8.897
2.511	8.916
2.531	8.798
2.551	8.574
2.571	8.268
2.590	8.008
2.610	8.140
2.629	8.580
2.649	9.103
2.669	9.557
2.689	9.685
2.709	9.732
2.729	9.836
2.748	9.972
2.768	9.884
2.788	9.796
2.808	9.911
2.828	10.031
2.847	9.916
2.867	9.718
2.887	9.890
2.907	10.206
2.926	10.517
2.946	10.970
2.966	11.246
2.986	11.398
3.006	11.196
3.025	9.675
3.045	8.884
3.065	11.396
3.085	13.549
3.104	11.847
3.124	8.785
3.144	7.784
3.164	8.972
3.183	10.757
3.203	10.743
3.223	9.715
3.243	9.514
3.263	9.610
3.282	9.309
3.302	8.556
3.322	8.013
3.342	8.139
3.361	8.400
3.381	8.528
3.401	8.621
3.421	8.980
3.441	9.433
3.460	9.382
3.480	9.194
3.500	9.213
3.520	9.219
3.539	9.037
3.559	8.813
3.579	8.991
3.599	9.804
3.618	10.563
3.638	10.564
3.658	10.458
3.678	10.888
3.698	11.508
3.717	11.779
3.737	11.813
3.757	11.389
3.777	10.205
3.796	10.398
3.816	12.599
3.836	13.512
3.856	11.450
3.876	8.974
3.895	7.875
3.915	8.889
3.935	10.929
3.955	11.689
3.974	10.500
3.994	9.607
4.014	9.691
4.034	9.476
4.054	8.841
4.073	8.386
4.093	8.175
4.113	7.839
4.133	7.755
4.152	7.916
4.172	8.077
4.192	8.317
4.212	8.619
4.231	9.078
4.251	9.549
4.271	10.030
4.291	10.067
4.311	9.867
4.330	10.248
4.350	10.997
4.370	11.245
4.390	10.538
4.409	9.912
4.429	10.082
4.449	10.576
4.469	10.844
4.488	11.101
4.508	11.555
4.528	11.298
4.548	9.284
4.568	9.111
4.587	13.571
4.607	16.317
4.627	13.497
4.647	9.451
4.666	7.616
4.686	7.465
4.706	8.531
4.726	9.082
4.746	9.060
4.765	9.587
4.785	10.261
4.805	10.298
4.825	9.814
4.844	9.132
4.864	8.848
4.884	8.997
4.904	9.326
4.923	9.430
4.943	9.307
4.963	9.164
4.983	8.954
5.003	8.741
5.022	8.625
5.042	8.536
5.062	8.502
5.082	8.830
5.101	9.410
5.121	9.477
5.141	9.233
5.161	9.115
5.180	9.413
5.200	9.882
5.220	10.084
5.240	10.080
5.260	10.485
5.279	11.175
5.299	11.637
5.319	11.509
5.339	11.278
5.358	10.000
5.378	8.736
5.398	11.357
5.418	14.597
5.438	13.460
5.457	10.213
5.477	9.231
5.497	10.233
5.517	11.649
5.536	11.873
5.556	10.839
5.576	9.542
5.596	9.061
5.615	9.297
5.635	9.812
5.655	9.799
5.675	9.288
5.695	8.851
5.714	8.770
5.734	8.833
5.754	8.911
5.773	8.967
5.793	9.207
5.813	9.615
5.833	9.874
5.853	9.827
5.873	9.342
5.892	10.224
5.912	10.729
5.932	8.821
5.952	8.514
5.971	9.199
5.991	9.190
6.011	9.110
6.031	9.548
6.050	10.156
6.070	9.998
6.090	9.977
6.110	10.004
6.130	9.303
6.149	9.515
6.169	9.819
6.189	9.823
6.209	9.900
6.228	10.099
6.248	10.274
6.268	10.106
6.288	9.754
6.308	9.757
6.327	9.999
6.347	10.327
6.367	10.249
6.387	9.829
6.406	9.594
6.426	9.596
6.446	9.748
6.466	9.819
6.486	9.664
6.505	9.742
6.525	9.895
6.545	9.732
6.565	9.599
6.584	9.412
6.604	9.346
6.624	9.768
6.644	10.144
6.663	10.005
6.683	9.799
6.703	9.745
6.723	9.808
6.743	10.002
6.762	9.239
6.782	8.481
6.802	9.904
6.822	10.470
6.841	8.919
